"doy","level"
280,2.74171182068937
281,2.75482456927879
282,2.7679373178682
283,2.78105006645762
284,2.79416281504703
285,2.80727556363645
286,2.82038831222586
287,2.83350106081528
288,2.8466138094047
289,2.85972655799411
290,2.87283930658353
291,2.88595205517294
292,2.89906480376236
293,2.91217755235177
294,2.92529030094119
295,2.9384030495306
296,2.95151579812002
297,2.96462854670943
298,2.97774129529885
299,2.99085404388827
300,3.00396679247768
301,3.0170795410671
302,3.03019228965651
303,3.04330503824593
304,3.05641778683534
305,3.06953053542476
306,3.08264328401417
307,3.09575603260359
308,3.108868781193
309,3.12198152978242
310,3.13509427837183
311,3.14820702696125
312,3.16131977555067
313,3.17443252414008
314,3.1875452727295
315,3.20065802131891
316,3.21377076990833
317,3.22688351849774
318,3.23999626708716
319,3.25310901567657
